468,8,Cross Country Skiing Women's 15 kilometres
469,8,Cross Country Skiing Women's 5/5 kilometres Pursuit
470,30,Diving Women's Synchronized Platform
471,2,Athletics Women's Triple Jump
472,54,Skeleton Women's Skeleton
473,23,Bobsleigh Men's Four/Five
474,14,"Art Competitions Mixed Painting, Drawings And Water Colors"
475,26,"Shooting Men's Dueling Pistol, 30 metres"
476,27,Boxing Women's Lightweight
477,29,Cycling Women's BMX
478,31,"Canoeing Men's Kayak Doubles, 200 metres"
479,24,"Fencing Men's Sabre, Masters, Individual"
480,55,Lacrosse Men's Lacrosse
481,31,"Canoeing Women's Kayak Singles, 500 metres"
482,2,Athletics Women's 10 kilometres Walk
483,11,Sailing Mixed 12 metres
484,4,Judo Women's Extra-Lightweight
485,30,Diving Men's Synchronized Springboard
486,22,"Rowing Men's Coxed Fours, Outriggers"
487,13,Gymnastics Men's Rope Climbing
488,11,Sailing Mixed Two Person Dinghy
489,14,"Art Competitions Mixed Architecture, Unknown Event"
490,37,"Archery Men's Target Archery, 28 metres, Team"
491,37,"Archery Men's Target Archery, 33 metres, Team"
492,37,"Archery Men's Target Archery, 50 metres, Team"
493,53,"Short Track Speed Skating Women's 3,000 metres Relay"
494,44,Freestyle Skiing Women's Moguls
495,53,Short Track Speed Skating Men's 500 metres
496,26,"Shooting Men's Running Target, 10 metres"
497,56,Polo Men's Polo
498,22,"Rowing Men's Coxed Fours, Inriggers"
499,29,Cycling Men's BMX
500,14,Art Competitions Mixed Sculpturing
501,2,"Athletics Men's Cross-Country, Individual"
502,2,"Athletics Men's Cross-Country, Team"
503,11,Sailing Mixed 40 metres
504,8,Cross Country Skiing Men's 10/10 kilometres Pursuit
505,49,"Ski Jumping Women's Normal Hill, Individual"
506,53,"Short Track Speed Skating Men's 1,000 metres"
507,53,"Short Track Speed Skating Men's 1,500 metres"
508,13,Gymnastics Men's Club Swinging
509,32,Tennis Women's Singles
510,32,Tennis Mixed Doubles
511,32,Tennis Women's Doubles
512,4,Judo Women's Middleweight
513,4,Judo Women's Lightweight
514,8,Cross Country Skiing Men's Team Sprint
515,51,Snowboarding Women's Halfpipe
516,31,"Canoeing Women's Kayak Singles, 200 metres"
517,31,Canoeing Men's Kayak Relay 4 x 500 metres
518,2,"Athletics Men's 3,000 metres, Team"
519,8,Cross Country Skiing Women's Sprint
520,26,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards"
521,26,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team"
522,26,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards"
523,26,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards"
524,26,"Shooting Men's Military Pistol, Team"
525,22,Rowing Women's Coxed Fours
526,17,"Weightlifting Men's Unlimited, One Hand"
527,31,"Canoeing Men's Canadian Singles, 500 metres"
528,24,"Fencing Men's Foil, Masters, Individual"
